vehicle_id,vehicle_type
1143,Schwalbe
747,Torrot
908,Schwalbe
1019,Torrot
1223,Schwalbe
840,Schwalbe
1111,Schwalbe
1461,Torrot
854,Schwalbe
655,Schwalbe
1089,Torrot
1213,Torrot
880,Schwalbe
948,Schwalbe
541,Schwalbe
1157,Schwalbe
997,Torrot
939,Schwalbe
759,Torrot
681,Schwalbe
1237,Schwalbe
1214,Schwalbe
680,Torrot
1161,Torrot
1097,Schwalbe
1230,Schwalbe
1066,Schwalbe
809,Torrot
1354,Schwalbe
1238,Schwalbe
1042,Schwalbe
1283,Schwalbe
991,Schwalbe
1156,Torrot
1012,Schwalbe
881,Schwalbe
1073,Schwalbe
1031,Torrot
784,Schwalbe
1355,Torrot
757,Torrot
1166,Schwalbe
980,Torrot
1068,Torrot
807,Schwalbe
1296,Schwalbe
812,Schwalbe
1082,Schwalbe
1135,Torrot
853,Schwalbe
926,Schwalbe
1100,Schwalbe
1195,Schwalbe
879,Schwalbe
1476,Schwalbe
780,Torrot
1459,Schwalbe
1154,Schwalbe
952,Schwalbe
770,Schwalbe
843,Schwalbe
1163,Schwalbe
1057,Schwalbe
1051,Schwalbe
1174,Torrot
983,Schwalbe
995,Schwalbe
71,Schwalbe
1055,Schwalbe
832,Torrot
919,Torrot
1289,Schwalbe
929,Schwalbe
1136,Schwalbe
882,Schwalbe
814,Torrot
969,Torrot
724,Schwalbe
924,Torrot
774,Schwalbe
1114,Schwalbe
937,Torrot
1338,Schwalbe
1048,Schwalbe
1356,Schwalbe
798,Schwalbe
1196,Schwalbe
799,Schwalbe
1232,Schwalbe
760,Schwalbe
823,Torrot
956,Torrot
998,Torrot
1132,Schwalbe
842,Schwalbe
706,Schwalbe
878,Schwalbe
1471,Schwalbe
786,Torrot
1144,Torrot
1185,Schwalbe
817,Torrot
1450,Torrot
1351,Schwalbe
1473,Schwalbe
1116,Schwalbe
1093,Schwalbe
1466,Schwalbe
877,Torrot
805,Torrot
801,Torrot
898,Torrot
825,Torrot
777,Schwalbe
928,Torrot
1147,Schwalbe
672,Schwalbe
972,Schwalbe
1352,Schwalbe
771,Schwalbe
1115,Schwalbe
775,Schwalbe
756,Torrot
810,Schwalbe
1176,Schwalbe
1298,Schwalbe
783,Schwalbe
1141,Schwalbe
